geneA_id,geneA_symbol,geneB_id,geneB_symbol
250,ALPP,9586,CREB5
255738,PCSK9,302,ANXA2
255738,PCSK9,3949,LDLR
255738,PCSK9,4313,MMP2
255738,PCSK9,56975,FAM20C
259197,NCR3,200232,FAM209A
259197,NCR3,259197,NCR3
259197,NCR3,374383,NCR3LG1
259197,NCR3,3958,LGALS3
259197,NCR3,7917,BAG6
2660,MSTN,117166,WFIKKN1
2660,MSTN,2660,MSTN
2660,MSTN,5045,FURIN
2660,MSTN,649,BMP1
2660,MSTN,93,ACVR2B
329,BIRC2,10482,NXF1
329,BIRC2,10642,IGF2BP1
329,BIRC2,10841,FTCD
329,BIRC2,11035,RIPK3
329,BIRC2,152926,PPM1K
329,BIRC2,1869,E2F1
329,BIRC2,23028,KDM1A
329,BIRC2,23624,CBLC
329,BIRC2,25793,FBXO7
329,BIRC2,2670,GFAP
329,BIRC2,27338,UBE2S
329,BIRC2,27429,HTRA2
329,BIRC2,2935,GSPT1
329,BIRC2,329,BIRC2
329,BIRC2,332,BIRC5
329,BIRC2,3728,JUP
329,BIRC2,4084,MXD1
329,BIRC2,4110,MAGEA11
329,BIRC2,4828,NMB
329,BIRC2,51027,BOLA1
329,BIRC2,51255,RNF181
329,BIRC2,51465,UBE2J1
329,BIRC2,53840,TRIM34
329,BIRC2,55093,NTAQ1
329,BIRC2,55284,UBE2W
329,BIRC2,55611,OTUB1
329,BIRC2,55840,EAF2
329,BIRC2,56616,DIABLO
329,BIRC2,56915,EXOSC5
329,BIRC2,5879,RAC1
329,BIRC2,5985,RFC5
329,BIRC2,640,BLK
329,BIRC2,660,BMX
329,BIRC2,7124,TNF
329,BIRC2,7184,HSP90B1
329,BIRC2,7185,TRAF1
329,BIRC2,7186,TRAF2
329,BIRC2,7311,UBA52
329,BIRC2,7316,UBC
329,BIRC2,7321,UBE2D1
329,BIRC2,7322,UBE2D2
329,BIRC2,7323,UBE2D3
329,BIRC2,7334,UBE2N
329,BIRC2,79444,BIRC7
329,BIRC2,79571,GCC1
329,BIRC2,80705,TSGA10
329,BIRC2,835,CASP2
329,BIRC2,836,CASP3
329,BIRC2,840,CASP7
329,BIRC2,842,CASP9
329,BIRC2,84708,LNX1
329,BIRC2,8517,IKBKG
329,BIRC2,862,RUNX1T1
329,BIRC2,8737,RIPK1
329,BIRC2,8767,RIPK2
329,BIRC2,9666,DZIP3
329,BIRC2,9747,TCAF1
329,BIRC2,998,CDC42
3301,DNAJA1,30811,HUNK
3301,DNAJA1,3096,HIVEP1
3301,DNAJA1,3312,HSPA8
3301,DNAJA1,379,ARL4D
3301,DNAJA1,4071,TM4SF1
3301,DNAJA1,51497,NELFCD
3301,DNAJA1,5728,PTEN
3301,DNAJA1,57819,LSM2
3301,DNAJA1,672,BRCA1
3301,DNAJA1,7316,UBC
3301,DNAJA1,8881,CDC16
3301,DNAJA1,9232,PTTG1
3301,DNAJA1,965,CD58
3315,HSPB1,10075,HUWE1
3315,HSPB1,10133,OPTN
3315,HSPB1,10168,ZNF197
3315,HSPB1,10200,MPHOSPH6
3315,HSPB1,102724652,LOC102724652
3315,HSPB1,10273,STUB1
3315,HSPB1,10309,CCNO
3315,HSPB1,103910,MYL12B
3315,HSPB1,10398,MYL9
3315,HSPB1,10480,EIF3M
3315,HSPB1,10573,MRPL28
3315,HSPB1,10627,MYL12A
3315,HSPB1,1070,CETN3
3315,HSPB1,10728,PTGES3
3315,HSPB1,10927,SPIN1
3315,HSPB1,10938,EHD1
3315,HSPB1,10946,SF3A3
3315,HSPB1,10951,CBX1
3315,HSPB1,10971,YWHAQ
3315,HSPB1,11059,WWP1
3315,HSPB1,11136,SLC7A9
3315,HSPB1,11146,GLMN
3315,HSPB1,11149,POPDC1
3315,HSPB1,114883,OSBPL9
3315,HSPB1,115,ADCY9
3315,HSPB1,116988,AGAP3
3315,HSPB1,1182,CLCN3
3315,HSPB1,119016,AGAP4
3315,HSPB1,120,ADD3
3315,HSPB1,121355,GTSF1
3315,HSPB1,122258,SPACA7
3315,HSPB1,125488,TTC39C
3315,HSPB1,129852,CIMIP6
3315,HSPB1,131831,ERICH6
3315,HSPB1,134218,DNAJC21
3315,HSPB1,140807,KRT72
3315,HSPB1,1409,CRYAA
3315,HSPB1,1410,CRYAB
3315,HSPB1,1415,CRYBB2
3315,HSPB1,1431,CS
3315,HSPB1,144406,CFAP251
3315,HSPB1,152110,NEK10
3315,HSPB1,157,GRK3
3315,HSPB1,161142,GARIN2
3315,HSPB1,163,AP2B1
3315,HSPB1,1674,DES
3315,HSPB1,1676,DFFA
3315,HSPB1,1964,EIF1AX
3315,HSPB1,1965,EIF2S1
3315,HSPB1,1974,EIF4A2
3315,HSPB1,1981,EIF4G1
3315,HSPB1,1982,EIF4G2
3315,HSPB1,1983,EIF5
3315,HSPB1,2036,EPB41L1
3315,HSPB1,2037,EPB41L2
3315,HSPB1,207,AKT1
3315,HSPB1,2073,ERCC5
3315,HSPB1,2099,ESR1
3315,HSPB1,2288,FKBP4
3315,HSPB1,22938,SNW1
3315,HSPB1,23015,GOLGA8A
3315,HSPB1,23020,SNRNP200
3315,HSPB1,23136,EPB41L3
3315,HSPB1,2317,FLNB
3315,HSPB1,23216,TBC1D1
3315,HSPB1,23363,OBSL1
3315,HSPB1,23392,ECPAS
3315,HSPB1,23429,RYBP
3315,HSPB1,23527,ACAP2
3315,HSPB1,23582,CCNDBP1
3315,HSPB1,248,ALPI
3315,HSPB1,2495,FTH1
3315,HSPB1,25814,ATXN10
3315,HSPB1,25820,ARIH1
3315,HSPB1,25831,HECTD1
3315,HSPB1,25957,PNISR
3315,HSPB1,26060,APPL1
3315,HSPB1,26130,GAPVD1
3315,HSPB1,2617,GARS1
3315,HSPB1,262,AMD1
3315,HSPB1,2623,GATA1
3315,HSPB1,26353,HSPB8
3315,HSPB1,2665,GDI2
3315,HSPB1,27247,NFU1
3315,HSPB1,27258,LSM3
3315,HSPB1,284058,KANSL1
3315,HSPB1,286,ANK1
3315,HSPB1,2978,GUCA1A
3315,HSPB1,29950,SERTAD1
3315,HSPB1,301,ANXA1
3315,HSPB1,3069,HDLBP
3315,HSPB1,3181,HNRNPA2B1
3315,HSPB1,3184,HNRNPD
3315,HSPB1,3185,HNRNPF
3315,HSPB1,3188,HNRNPH2
3315,HSPB1,3192,HNRNPU
3315,HSPB1,3308,HSPA4
3315,HSPB1,3309,HSPA5
3315,HSPB1,3315,HSPB1
3315,HSPB1,3320,HSP90AA1
3315,HSPB1,3326,HSP90AB1
3315,HSPB1,339287,MSL1
3315,HSPB1,342979,PALM3
3315,HSPB1,3476,IGBP1
3315,HSPB1,3516,RBPJ
3315,HSPB1,3831,KLC1
3315,HSPB1,3839,KPNA3
3315,HSPB1,3875,KRT18
3315,HSPB1,3921,RPSA
3315,HSPB1,3929,LBP
3315,HSPB1,3978,LIG1
3315,HSPB1,4137,MAPT
3315,HSPB1,414059,TBC1D3B
3315,HSPB1,4175,MCM6
3315,HSPB1,4528,MTIF2
3315,HSPB1,4638,MYLK
3315,HSPB1,4673,NAP1L1
3315,HSPB1,4931,NVL
3315,HSPB1,51003,MED31
3315,HSPB1,51019,WASHC3
3315,HSPB1,51133,KCTD3
3315,HSPB1,51340,CRNKL1
3315,HSPB1,51434,ANAPC7
3315,HSPB1,51517,NCKIPSD
3315,HSPB1,51594,NBAS
3315,HSPB1,51649,MRPS23
3315,HSPB1,5168,ENPP2
3315,HSPB1,51692,CPSF3
3315,HSPB1,51763,INPP5K
