GENEID,VIA,AB40,AB42
218,0.845912704,0.260466798,0.035211278
219,-1.542904735,0.712903935,0.467804519
220,0.905641153,-0.802888241,-1.016562788
221,2.56696426,-1.33244166,-0.451783155
222,-0.787496877,1.482571342,1.07947009
223,-1.892720801,0.570126741,1.490985675
224,-0.65381625,0.68998434,0.389951074
225,-0.13262207,0.622015467,0.469761173
226,-0.102094344,0.016435255,0.192678529
228,-1.868036794,1.809678786,1.437453533
229,3.910546629,-2.738300197,-2.512053205
230,-1.251458814,0.482737381,0.54390556
231,-0.739261018,0.980848822,0.76508509
238,2.167574938,-3.048351037,-3.025892006
239,-0.07130551,0.662670108,-0.708030134
241,0.874520369,0.358399528,0.209558348
242,1.26692946,0.54810427,1.14017408
244,0.126865955,-0.811674919,-0.253040145
246,-0.760345657,1.135135358,1.061081226
247,-0.280442431,0.404057765,0.785317978
249,0.128773261,-0.510137579,-0.328224784
258,-0.350009991,-0.524481689,0.005321696
259,-0.533605407,0.731410106,0.580128517
262,0.771388304,0.462849445,0.71455231
266,1.66496216,-0.537838389,0.267955593
267,0.451344916,0.569300674,0.40269531
269,2.161525003,-0.136218455,-0.061879693
270,0.154837005,-0.340999384,-0.250734501
271,0.388200915,-4.123861884,-4.85460195
272,0.630547296,-0.765516172,-1.436502645
273,-0.780327588,0.529290444,0.594236076
274,1.414570251,0.419294336,0.388687057
275,-0.218221,0.173841244,-0.246319398
276,-0.096606305,0.307561909,-0.003092254
279,-0.812311408,0.788521125,0.100613688
280,1.365077814,-0.126564182,0.247535555
283,0.716774455,-0.838963139,-2.026946485
285,-0.37699917,1.597440187,2.072146545
286,1.419603211,-0.864028787,-1.848813942
287,0.639683376,-1.150439558,-1.430232613
288,-0.302204105,0.069950017,0.659052615
290,-0.72187228,0.708650872,-0.642891937
291,5.01769119,-3.80779138,-3.386432696
292,0.552454331,-0.101337163,-0.235545016
293,0.433358791,0.668795054,1.097425115
301,0.656322104,-0.86878815,-0.143160095
302,1.379098045,-0.103028759,-0.262285366
306,4.513980289,-1.178007432,-0.67378533
307,-0.431409796,-0.176804867,-0.032972696
308,-0.934372411,-0.728185329,-0.3603474
309,-0.221943507,-0.702051917,-0.49197376
310,0.322433012,1.091794439,1.197244451
311,0.37313199,-0.247401388,0.132403528
312,0.857700328,-0.081297587,0.401925126
313,1.490067106,-1.263727152,-0.588738416
314,-1.231209713,0.583036537,0.986621799
316,0.472360624,0.350964581,0.383421043
317,-0.69681691,-1.453186928,-1.552657387
318,-0.832311903,0.051777161,-0.564866238
319,0.333752693,-0.105319234,0.014761395
320,0.362199524,0.207954866,0.965349691
321,3.901870117,-2.932678448,-1.546531233
323,-0.382390689,-1.35939874,-0.550778298
324,0.465753981,-0.433303114,-0.527517326
325,0.626950322,0.447015528,0.922158167
327,0.162365658,0.465135362,0.65520539
328,0.116025723,1.339170949,0.824332122
329,-0.213984428,-0.606624337,-0.644382719
330,0.121865333,-1.46806451,-2.492288812
331,-0.194089139,-0.310003973,-0.296934453
332,0.303184635,-0.12540511,-0.469482902
334,-1.255585292,0.901407209,0.800001954
336,-0.007142487,0.48059425,0.467625032
338,0.779269345,0.310632968,0.052536312
339,0.753033085,0.173546552,0.319011543
343,1.891800142,-1.031096952,-0.357846864
344,-2.863000514,2.397290338,1.079174412
347,-0.382418199,1.365015268,0.762755472
350,-0.545668961,0.873073977,1.279547723
351,0.387788441,-7.674761973,-7.096784314
353,0.191203558,0.127232544,-0.189431867
354,-1.060068016,0.769466497,-0.002871859
355,0.74265048,-1.076923778,-1.279073084
356,-0.655620481,0.698785871,0.68542668
357,0.366906319,-2.219715318,-2.384141818
358,0.358247956,1.234010978,1.20017462
359,-0.303335309,0.261327597,0.065417592
360,0.169286637,-0.362271749,-0.696224952
361,0.221465975,-0.091847893,0.194538711
364,0.716590006,0.05558295,0.432655834
366,-0.921223105,0.347858459,-0.100470341
